commit a079d5e6220bba9b497f4ccf63750f0c2d5c9b9f
Execution time: 2018/09/16 10:25:30.421121288
		q    n    m      N    M    tau  MT?  total times                                                                AVG         STD         computation times                                                          AVG         STD         
protocol 1
		15   256  1024   2    75   34        115,111,55,111,111,114,114,114,114,115                                     107.4000    17.5340     90,89,87,88,88,88,89,88,87,88                                              88.2000     0.8718      
		15   256  1024   2    145  63        254,257,258,246,257,256,252,253,251,254                                    253.8000    3.4000      178,179,179,180,179,179,176,176,179,177                                    178.2000    1.3266      
		15   256  1024   4    55   32        138,137,138,136,138,138,137,140,139,137                                    137.8000    1.0770      94,92,93,92,93,93,94,93,94,93                                              93.1000     0.7000      
		15   256  1024   4    105  57        314,312,316,316,313,316,315,314,316,317                                    314.9000    1.5133      191,192,196,194,194,195,192,192,195,195                                    193.6000    1.6248      
		15   256  1024   8    55   38        230,230,225,228,229,231,227,231,230,228                                    228.9000    1.8138      137,138,134,135,138,138,134,138,138,135                                    136.5000    1.6882      
		15   256  1024   8    95   57        531,525,523,527,533,532,533,531,528,526                                    528.9000    3.3897      300,294,292,299,299,299,300,300,300,295                                    297.8000    2.8213      
		15   256  1024   16   45   26        527,518,522,516,526,525,528,525,519,528                                    523.4000    4.1521      291,287,289,282,291,290,291,290,283,292                                    288.6000    3.3226      
		15   256  1024   16   95   63        935,920,922,934,935,935,934,932,931,921                                    929.9000    5.9741      504,490,490,506,503,504,503,504,501,489                                    499.4000    6.4838      
		15   256  1024   32   45   28        969,987,982,984,985,985,977,978,984,982                                    981.3000    5.0606      508,525,524,524,524,524,521,516,523,521                                    521.0000    5.0000      
		15   256  1024   32   85   47        2207,2208,2208,2209,2169,2174,2209,2200,2201,2179                          2196.4000   15.1275     1158,1158,1156,1158,1119,1121,1160,1149,1154,1131                          1146.4000   15.4221     
		15   256  1024   64   45   28        2022,2041,2041,2031,2044,2038,2017,2040,2044,2043                          2036.1000   9.1044      1037,1058,1056,1049,1059,1062,1032,1060,1059,1065                          1053.7000   10.4312     
		15   256  1024   64   85   49        4321,4317,4329,4314,4314,4319,4272,4323,4335,4317                          4316.1000   15.9966     2234,2226,2235,2220,2222,2224,2180,2235,2246,2231                          2225.3000   16.7872     
		15   256  4096   2    75   34        541,539,533,539,536,538,538,538,539,535                                    537.6000    2.2000      354,348,350,350,350,348,350,351,350,351                                    350.2000    1.6000      
		15   256  4096   2    145  63        1101,1097,1096,1098,1108,1105,1102,1098,1100,1098                          1100.3000   3.6069      702,698,696,699,700,700,702,700,700,696                                    699.3000    2.0025      
		15   256  4096   4    55   32        629,628,628,629,629,627,629,629,631,629                                    628.8000    0.9798      367,366,366,367,365,367,366,367,368,368                                    366.7000    0.9000      
		15   256  4096   4    105  57        1328,1326,1330,1328,1325,1332,1327,1327,1324,1327                          1327.4000   2.2000      760,762,761,760,761,761,763,761,762,759                                    761.0000    1.0954      
		15   256  4096   8    55   38        983,977,982,978,982,981,981,975,979,978                                    979.6000    2.4576      532,531,533,533,532,534,533,532,534,533                                    532.7000    0.9000      
		15   256  4096   8    95   57        2143,2150,2154,2154,2153,2148,2156,2146,2152,2150                          2150.6000   3.8262      1154,1163,1161,1162,1160,1161,1163,1160,1158,1160                          1160.2000   2.5219      
		15   256  4096   16   45   26        2150,2151,2149,2154,2153,2150,2155,2150,2148,2149                          2150.9000   2.2113      1131,1128,1123,1128,1129,1124,1132,1125,1125,1128                          1127.3000   2.8302      
		15   256  4096   16   95   63        3742,3746,3740,3762,3734,3739,3737,3737,3743,3735                          3741.5000   7.6844      1947,1951,1947,1973,1943,1949,1951,1948,1948,1949                          1950.6000   7.7743      
		15   256  4096   32   45   28        3976,3985,3988,3976,3973,3976,3981,3976,3983,3977                          3979.1000   4.6141      2038,2036,2040,2040,2041,2042,2048,2040,2044,2045                          2041.4000   3.3226      
		15   256  4096   32   85   47        8800,8776,8826,8861,8806,8806,8794,8822,8790,8835                          8811.6000   23.5465     4497,4484,4515,4502,4506,4499,4502,4537,4500,4526                          4506.8000   14.5520     
		15   256  4096   64   45   28        8170,8178,8180,8218,8333,8158,8192,8193,8138,8169                          8192.9000   50.9656     4139,4158,4151,4152,4293,4133,4131,4153,4130,4148                          4158.8000   45.7467     
		15   256  4096   64   85   49        17189,17228,17317,17250,17216,17249,17305,17195,17155,17179                17228.3000  50.2574     8707,8735,8761,8718,8707,8704,8702,8734,8687,8710                          8716.5000   20.2250     
		31   512  2048   2    75   34        491,485,489,488,490,489,490,492,487,490                                    489.1000    1.9209      328,325,326,326,325,324,326,325,325,326                                    325.6000    1.0198      
		31   512  2048   2    145  63        1002,1010,1010,1010,1007,1010,1005,1009,1005,1003                          1007.1000   2.9816      652,653,653,653,654,653,651,654,652,652                                    652.7000    0.9000      
		31   512  2048   4    55   32        605,604,604,604,603,604,603,597,607,599                                    603.0000    2.7568      354,353,353,353,353,353,353,352,353,353                                    353.0000    0.4472      
		31   512  2048   4    105  57        1285,1284,1286,1284,1287,1281,1282,1282,1282,1283                          1283.6000   1.8547      736,736,738,735,737,737,733,732,733,736                                    735.3000    1.9000      
		31   512  2048   8    55   38        965,963,959,962,964,961,963,964,964,959                                    962.4000    2.0100      527,525,523,525,524,521,525,525,524,526                                    524.5000    1.5652      
		31   512  2048   8    95   57        2138,2138,2143,2134,2136,2144,2146,2136,2141,2145                          2140.1000   4.0361      1143,1152,1153,1145,1145,1151,1150,1148,1151,1150                          1148.8000   3.2187      
		31   512  2048   16   45   26        2189,2152,2184,2181,2181,2192,2183,2183,2179,2180                          2180.4000   10.2196     1138,1147,1146,1137,1137,1148,1138,1138,1137,1140                          1140.6000   4.2942      
		31   512  2048   16   95   63        3783,3779,3763,3762,3765,3776,3780,3766,3778,3781                          3773.3000   7.8492      1971,1970,1955,1952,1951,1967,1967,1954,1967,1970                          1962.4000   7.8511      
		31   512  2048   32   45   28        4060,4040,4044,4038,4052,4052,4059,4047,4041,4037                          4047.0000   7.9875      2084,2072,2070,2066,2070,2078,2083,2069,2072,2069                          2073.3000   5.8830      
		31   512  2048   32   85   47        9005,8988,8986,9011,8967,9021,9023,9020,8991,8997                          9000.9000   17.3980     4615,4574,4575,4622,4578,4620,4612,4619,4585,4602                          4600.2000   19.0463     
		31   512  2048   64   45   28        8352,8360,8363,8372,8359,8352,8343,8353,8360,8379                          8359.3000   9.8798      4235,4247,4262,4264,4233,4226,4237,4238,4238,4259                          4243.9000   12.6685     
		31   512  2048   64   85   49        17557,17626,17647,17591,17582,17563,17622,17671,17653,17647                17615.9000  38.1089     8893,8960,8951,8883,8902,8896,8899,8940,8939,8946                          8920.9000   27.2560     
		61   1024 4096   2    75   34        1642,1621,1622,1623,1607,1619,1603,1625,1616,1636                          1621.4000   11.1104     1100,1101,1103,1100,1100,1099,1100,1100,1100,1099                          1100.2000   1.0770      
		61   1024 4096   2    145  63        3298,3258,3252,3254,3272,3260,3279,3264,3285,3245                          3266.7000   15.7166     2194,2187,2194,2193,2193,2188,2195,2187,2190,2192                          2191.3000   2.9000      
		61   1024 4096   4    55   32        2110,2102,2094,2104,2098,2107,2103,2110,2096,2098                          2102.2000   5.3814      1228,1230,1225,1226,1224,1225,1229,1228,1229,1229                          1227.3000   2.0025      
		61   1024 4096   4    105  57        4382,4402,4381,4404,4392,4399,4403,4383,4396,4388                          4393.0000   8.5907      2547,2547,2548,2554,2546,2549,2549,2547,2550,2547                          2548.4000   2.2000      
